Name,Usage,Parent,Tags,Value,Units
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_19,,-2.0744594722096896,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_19,,0.11679906460511544,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_19,,2.5873000621795654,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_19,,2.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_19,,-24.185199737548828,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_19,,0.2730999886989593,
AXUV.DIODEARRAY3.CH_20,SIGNAL,,,\AXUV.DIODEARRAY3.CH_20.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_20,,\AXUV.DIODEARRAY3.CH_20.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_20,,\ACQ1001_639.CH_43,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_20,,\AXUV.DIODEARRAY3.CH_20.VOLTAGE / \AXUV.DIODEARRAY3.CH_20.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_20,,220.6,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_20,,0.4051005438468332,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_20,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_20,,-2.072114839224197,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_20,,0.12903045714090539,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_20,,3.3998000621795654,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_20,,1.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_20,,-26.775999069213867,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_20,,0.2685000002384186,
